Name,URL,Price,Special price,Year,DPS,Mag,Tags,Comments
https://www.amazon.com/NERF-Rival-Perses-Mxix-5000/dp/B07RW81VDW?th=1ival Perses,https://www.amazon.com/NERF-Rival-Perses-Mxix-5000/dp/B07RW81VDW?th=1,60,,,8,50,Ball,https://outofdarts.com/products/nerf-rival-perses-extended-hopper
Hyper Mach,https://nerf.hasbro.com/en-us/product/nerf-hyper-mach-100-fully-motorized-blaster-and-80-nerf-hyper-rounds-110-fps-velocity-easy-reload-100-round-capacity:B103CD4E-5DF6-4424-8A8A-EEE0643340F4,80,,,6,100,Small ball,Not as favored as the Perses
,https://www.walmart.com/ip/Adventure-Force-Tactical-Strike-Monolith-Automatic-Ball-Blaster-with-40-Rounds-Compatible-with-NERF-RIVAL-and-NERF-Hyper-Rounds/182187617,36,,,2,,Ball,
,https://www.amazon.com/Prometheus-MXVIII-20k-Nerf-Rechargeable-Shoulder/dp/B076JQP4X7,180,,,,,Ball,
,https://www.amazon.com/Nerf-Rival-Nemesis-MXVII-10K-Red/dp/B01MG5QHC1/ref=sr_1_8?crid=PRN20LHWH9JS&keywords=nerf%2Brival%2Bperses&qid=1669220711&sprefix=nerf%2Brival%2Bperses%2Caps%2C141&sr=8-8&ufe=app_do%3Aamzn1.fos.08f69ac3-fd3d-4b88-bca2-8997e41410bb&th=1,104,,,7,100,Ball,Likened to the Perses somewhat
V6,https://csnoobs.com/products/v6-high-rate-of-fire-darts-blaster,150,,,10,,,
NERF Elite 2.0 Motoblitz,https://www.amazon.com/NERF-Motoblitz-Motorized-Blasting-Airblitz/dp/B09NZMQ9HJ/ref=sr_1_36?crid=216H4Y1SYZIU6&keywords=foam+dart+blaster+automatic&qid=1669265287&sprefix=foam+dart+blaster+automatic%2Caps%2C111&sr=8-36,31,,,3,10,Semi,
Nerf N-Strike Mega Mastodon,https://www.amazon.com/Nerf-N-Strike-Mega-Mastodon/dp/B018KLHSS2/ref=sr_1_33?crid=216H4Y1SYZIU6&keywords=foam+dart+blaster+automatic&qid=1669265287&sprefix=foam+dart+blaster+automatic%2Caps%2C111&sr=8-33&ufe=app_do%3Aamzn1.fos.08f69ac3-fd3d-4b88-bca2-8997e41410bb,78,,2016,3,,,
Nerf Ultra Select,https://www.amazon.com/NERF-F0958-NER-Ultra-Select/dp/B08SYD2685,35,,2021,3,20,,
NERF Halo MA40,https://www.amazon.com/NERF-E9262-NER-Halo-MA40/dp/B08D1MD911/ref=sr_1_32?crid=216H4Y1SYZIU6&keywords=foam%2Bdart%2Bblaster%2Bautomatic&qid=1669265287&sprefix=foam%2Bdart%2Bblaster%2Bautomatic%2Caps%2C111&sr=8-32&ufe=app_do%3Aamzn1.fos.08f69ac3-fd3d-4b88-bca2-8997e41410bb&th=1,48,32,2020,,10,Semi,
Coldfire,https://www.amazon.com/Automatic-Magazine-Electric-Motorized-Birthday/dp/B0B68BTCC6/ref=sr_1_7?crid=216H4Y1SYZIU6&keywords=foam+dart+blaster+automatic&qid=1669276076&refinements=p_72%3A1248963011&rnid=1248961011&s=toys-and-games&sprefix=foam+dart+blaster+automatic%2Caps%2C111&sr=1-7,50,,,,,,
Rapidstrike/Stratohawk,https://www.amazon.com/Nerf-CS-18-N-Strike-Rapidstrike-Colors/dp/B00DW1JU5K,60,,2013,3,18,,
Regulator,https://www.amazon.com/Nerf-C1294F07-Modulus-Regulator/dp/B01MYFC4OD,67,40,2017,4,12,,"Choose single, burst, or auto"
Infinus,https://www.amazon.com/Nerf-N-Strike-Motorized-Speed-Load-Technology/dp/B076JCQFD1,65,,2018,3,30,,
Hyperfire,https://www.amazon.com/Nerf-N-Strike-Hyper-Amazon-Exclusive/dp/B018KLHT5O,90,53,2016,5,25,,
Stampede,https://www.amazon.com/NERF-N-Strike-Stampede-ECS-ICON/dp/B07YCTBNQW,100,,,,,,
Magstrike,,110,40,2007,14,10,Air auto,
Air Warriors Ultra Tek Destiny Suction Dart Blaster 51400,https://www.walmart.com/ip/Air-Warriors-Ultra-Tek-Destiny-Suction-Dart-Blaster/52130671,20,,2016,14,20,Air auto,
Out of Darts Rival Jupiter,https://outofdarts.com/products/rival-jupiter-fully-assembled-blaster,175,,2018,10,999,Ball,
Ultra Speed,,40,35,2022,7,12,,"Ultra darts bad, tiny clip"
Stryfe,,,,,,6,Semi,
Barricade/Stockade,,,,,,,Semi,
Powerbelle,,,,,,,Semi,
Adventure Force Spectrum,https://www.walmart.com/ip/Adventure-Force-Spectrum-Motorized-Clip-fed-Red-Blaster/913428153,25,,2020,,10,Semi,"Dethrones the Stryfe, hits hard"
havoc,https://www.walmart.com/reviews/product/52130736?filter=1,,,,,,Primed,
xshot reflex 6,https://www.amazon.com/XShot-X-Shot-Blaster-Frustration-Packaging/dp/B09P1CD54L?th=1,10,,2022,,6,Easy Primed,Nice easy prime
Nerf triad,https://www.amazon.com/Nerf-N-Strike-Elite-Triad-EX-3/dp/B009T45X82,12,,,,3,Primed,
